ID	Abstract
1	19 year old female with Crohn disease developed jaundice with high ALT levels, rash, fever, eosinophilia and lymphadenopathy after 8 weeks of sulfasalazine therapy, resolving within 4 weeks.
2	20 year old woman with Crohn disease developed fever 3 weeks after starting sulfasalazine accompanied by a mixed pattern of serum enzyme elevations without jaundice and had recurrence with a similar anicteric pattern 4 days after restarting.
3	9 year old girl developed arthralgias, fever, splenomegaly and ANA-positivity with normal serum enzymes and no jaundice 9 months after starting hydralazine; symptoms resolved within 1 and serology within 11 months of stopping.
4	Among 40 patients with psoriasis treated with 8-methoxypsoralen and ultraviolet light, 6 had transient elevations in serum aminotransferase levels, but further specifics were not given.
5	31 year old woman on OCCs for 11 years was found to have a large hepatic mass and secondary lesions shown histologically to be hepatocellular carcinoma; no details of follow up given.
6	17 year old male with long standing aplastic anemia treated with oxymetholone developed sudden rupture of right lobe of liver and autopsy revealed multiple hepatic nodules and adenomas.
7	13 year old girl with rheumatoid arthritis developed jaundice 5 months after starting penicillamine with recovery in 3 months; no specifics given; benorylate is an ester of acetylsalicylic acid and acetaminophen.
8	48 year old man with renal insufficiency developed rash, fever and abdominal pain 4-5 weeks after starting allopurinol [bilirubin 1.1 rising to 7.7 mg/dL, ALT 134 U/L, Alk P 1317 U/L, 10% eosinophilia], liver biopsy showing cholangitis and cholestasis, died of multiorgan failure.
9	2 men, ages 72 and 58 years, developed fever, rash and eosinophilia 2 and 4 weeks after starting allopurinol [bilirubin 2.4 and 0.5 mg/dL, AST 510 and 65 U/L, Alk P 198 and 200 U/L], one required prednisone for rash, both recovered.
10	Two brothers with Fanconi’s anemia on long term androgen therapy both developed malignancies, including leukemia, gingival squamous cell cancer, and hepatocellular carcinoma.
11	Literature on the mechanism of action of sex steroid hormones is rev iewed. The effects of estrogen, progesterone, and androgen on RNA metabolism, RNA polymerase activity, the accumulation of specific protei ns, the transcription of specific messenger RNA's and their translation, and genetic transcription in vivo and in vitro are discussed.
12	Analysis of first 100 patients in a registry of liver tumors in women found 40 adenomas, 44 focal nodular hyperplasias, 13 liver cancers and 4 unclassified tumors, mean age 30 years [14-47 years], only 4 were never on OCCs, pregnant or on estrogens [4-156 months]; presenting as hemoperitoneum [26%], pain [32%], mass [19%] or incidental finding [20%].
13	Blood chloroquine concentrations were measured in 5 patients having complications related to this treatment. No significant differences were noted when compared to controls. Further studies are required however before drawing any definite conclusions. The persistence of fairly high residual levels, several months after stopping treatment, is evidence of chloroquine retention in these patients. 
14	Seventeen cases of juvenile laryngeal papillomatosis have been seen and treated with microlaryngoscopy, removal of papillomas, and administering of autogenous vaccine. Holinger's original findings could be confirmed. The operation frequency of 9 patients was significantly reduced, 5 were improved, and 3 unchanged. In no case was an undesirable reaction to the vaccine observed. Electron microscopy showed no virus-like particles in the papilloma but a section of a vulvar wart did show the virus. 
15	The authors studied seven patients with sarcoidosis and tuberculosis: the affections co-existed in 3 cases but were separated by varying intervals of time in the 4 other patients. They discuss the diagnostic, therapeutic, and nosological problems posed by these cases, and review the various hypotheses that have been suggested to explain these associations in relation to the pathogenesis of the sarcoidosis. 
16	44 year old woman with rheumatoid arthritis developed large lymph nodes, hepatomegaly and pulmonary infiltrates after 135 mg of gold injections with eosinophila, but minimal to no elevation in AST, Alk P or bilirubin, slowly resolved and liver biopsy was unrevealing.
17	41 year old woman with rheumatoid arthritis developed jaundice 3 weeks after starting penicillamine [bilirubin 3.3 mg/dL, AST 117 U/L, Alk P 1132 U/L], jaundice resolving within 2 weeks and enzyme elevations within 11 weeks of stopping.
18	50 year old man took an overdose [30 mg] of colchicine and rapidly developed fever, diarrhea, vomiting, dehydration and hypotension with renal failure, acidosis, septicemia, and liver test abnormalities [bilirubin 0.7 rising to 6.6 mg/dL, AST 58 to 333 U/L, Alk P 91 to 667 U/L], but ultimate full recovery; sepsis and hypotension may have contributed to the liver abnormalities.
19	A new procedure for purification of glucose-6-phosphate dehydrogenase resulting in an electrophoretically homogenous preparation made up of 5.10(8) cells (390 mg of protein) is proposed. The enzyme yield is more than 20%. The molecular weights of a subunit and a native enzyme are 55000 and 220000, respectively. The isoelectric point for the protein lies at 4,8. The kinetics of the enzyme thermal inactivation obey the first order equation with the inactivation rate constant of 6.10(-3) min-1. 
20	The in vivo antitumor activities, as measured by inhibition of transplanted P-388 and L-1210 leukemia in mice, have been determined for a series of analogs of anguidine including triacetoxyscirpenol, the three diacetoxyscirpenols, the three monoacetoxyscirpenols, and scirpenetriol. An acetoxy function at position 15 appears to be required for good activity. 
21	A twenty-seven year old man with a two year history of sarcoidosis and systemic manifestations of this disease along with verrucous ulcerative skin lesions is presented. Biopsy specimens of the cutaneous lesions showed typical noncaseating granulomas as well as necrotizing granulomatous inflammation. After other possible etiologies were excluded, prednisone therapy was instituted with prompt resolution of the skin lesions, leaving atrophic scars. 
22	A case of onycholysis secondary to the ingestion of tetracycline hydrochloride is reported. The patient was not photosensitive, and the nails returned to normal after withdrawal of the causative drug. 
23	Elevated histamine concentrations of pathophysiological significance could be determined in plasma of dogs suffering from acute pancreatitis according to Pfeffer. This result was also obtained in dogs treated with aminoguanidine, a very effective diamine oxidase blocker, in addition to the duodenal blind loop preparation. Elevated histamine concentrations were found in nine out of ten dogs. 
24	Review of histology of 9 cases of erythromycin liver injury from Armed Forces Institute of Pathology files; mostly cholestatic or mixed enzyme pattern, all self-limited, [bilirubin 2.1-12 mg/dL, ALT 128-560 U/L, Alk P 2-12 times ULN]; liver histology showed cholestasis and hepatocellular injury.
